publishedAtDate,text,stars,isLocalGuide,reviewerNumberOfReviews,responseFromOwnerText,responseFromOwnerDate,OwnerResponseDays,TextDensity,Document
2025-03-10 15:54:34.920000+00:00,Our driver (s) picking up waste and recycling are always dependable.,5,False,5,,,,6.181818181818182,Our driver (s) picking up waste and recycling are always dependable.
2025-03-09 23:31:27.526000+00:00,<LOCATION> was super helpful and professional and helped me to solve my issue quickly. ⚡️🤗,5,False,3,,,,5.933333333333334,<LOCATION> was super helpful and professional and helped me to solve my issue quickly. ⚡️🤗
2025-03-07 20:04:00.883000+00:00,<PERSON> was very helpful with my questions and request this morning!  It is refreshing to find a pleasant person when requesting information.,5,False,3,,,,6.318181818181818,<PERSON> was very helpful with my questions and request this morning!  It is refreshing to find a pleasant person when requesting information.
2025-03-07 16:54:36.677000+00:00,"For years we were frustrated with the customer service with <ORGANIZATION>. Long wait times to talk to people, not very nice customer service reps and drivers weren’t very nice. Then we got in contact with <PERSON>, She’s hands down the best employee they have!! We check in with each other every month to work on paying our bill, she’s extremely fast to respond to my emails, (in fact the only time she wasn’t I found out she wasn’t at work that day! Lol) and helps me coordinate with our bin sizes. She has completely turned our opinion around about Murreys!! If her boss is reading this, highly recommend giving her a raise!!",5,False,6,,,,5.517857142857143,"For years we were frustrated with the customer service with <ORGANIZATION>. Long wait times to talk to people, not very nice customer service reps and drivers weren’t very nice. Then we got in contact with <PERSON>, She’s hands down the best employee they have!! We check in with each other every month to work on paying our bill, she’s extremely fast to respond to my emails, (in fact the only time she wasn’t I found out she wasn’t at work that day! Lol) and helps me coordinate with our bin sizes. She has completely turned our opinion around about Murreys!! If her boss is reading this, highly recommend giving her a raise!!"
2025-03-04 01:41:18.395000+00:00,"I have lived in this home for 8 years and have never had an issue. The drivers are amazing, especially considering my street is so extremely narrow. But they always make it work! Thank You",5,False,3,,,,5.371428571428571,"I have lived in this home for 8 years and have never had an issue. The drivers are amazing, especially considering my street is so extremely narrow. But they always make it work! Thank You"
2025-02-28 01:42:13.319000+00:00,Awesome service!!!!!!!,5,True,19,,,,11.0,Awesome service!!!!!!!
2025-02-27 21:02:23.275000+00:00,"Excellent customer care when I called <LOCATION>, seeking resolution for an alternate <LOCATION> pickup date due to high winds on the usual scheduled date. <PERSON> volunteered to assign the <ORGANIZATION> pickup driver to also pick up <LOCATION> on his next pickup date and time. Like I told <PERSON>, taking care of customers the way she took care of me, is just another example that <ORGANIZATION> is great.",5,False,4,,,,5.9411764705882355,"Excellent customer care when I called <LOCATION>, seeking resolution for an alternate <LOCATION> pickup date due to high winds on the usual scheduled date. <PERSON> volunteered to assign the <ORGANIZATION> pickup driver to also pick up <LOCATION> on his next pickup date and time. Like I told <PERSON>, taking care of customers the way she took care of me, is just another example that <ORGANIZATION> is great."
2025-02-25 22:03:25.431000+00:00,Love the customer service! Everytime I call <PERSON> is absolutely amazing.,5,True,74,,,,6.545454545454546,Love the customer service! Everytime I call <PERSON> is absolutely amazing.
2025-02-24 21:16:35.888000+00:00,"<PERSON> at <ORGANIZATION> was excellent. She worked quickly, diligently, and with a great attitude. Very pleased with the service!",5,False,6,,,,6.55,"<PERSON> at <ORGANIZATION> was excellent. She worked quickly, diligently, and with a great attitude. Very pleased with the service!"
2025-02-15 16:33:16.471000+00:00,"I like this customer service here . They are the best especially <PERSON> . She helped me put my mom’s name in our account so she can make an ID . <PERSON> is very sweet and kind . Any problem with payment , they email us and we contact to fix . They always willing to help .",5,False,3,,,,4.672413793103448,"I like this customer service here . They are the best especially <PERSON> . She helped me put my mom’s name in our account so she can make an ID . <PERSON> is very sweet and kind . Any problem with payment , they email us and we contact to fix . They always willing to help ."
2025-02-13 13:09:26.063000+00:00,Great service,5,True,27,,,,6.5,Great service
2025-02-12 04:02:01.944000+00:00,<LOCATION> has been extremely helpful.,5,True,38,,,,7.4,<LOCATION> has been extremely helpful.
2025-02-12 03:34:27.983000+00:00,I’ve been so impressed with the customer service! The nicest most helpful people! Thankful for these good people!,5,False,7,,,,6.277777777777778,I’ve been so impressed with the customer service! The nicest most helpful people! Thankful for these good people!
2025-02-12 02:56:38.307000+00:00,"Every time we get even a bit of snow, they refuse to collect the garbage.  Maybe they should call the garbage providers in the <LOCATION> part of the <ORGANIZATION> and see how they manage to do it :) This company is terrible and as customers we deserve better options then this useless monopoly!!",1,False,5,,,,5.509433962264151,"Every time we get even a bit of snow, they refuse to collect the garbage.  Maybe they should call the garbage providers in the <LOCATION> part of the <ORGANIZATION> and see how they manage to do it :) This company is terrible and as customers we deserve better options then this useless monopoly!!"
2025-02-10 16:41:10.617000+00:00,Trying to figure out why the price keeps increasing but service goes down. My recycle bin ends up toppled over across my driveway yet EVERYONE else on the block does not!,2,False,3,,,,5.483870967741935,Trying to figure out why the price keeps increasing but service goes down. My recycle bin ends up toppled over across my driveway yet EVERYONE else on the block does not!
2025-02-07 03:58:27.574000+00:00,Always makes my boy smile when he stops and lets him watch the trash get empty and always makes sure he waves every wek when my toddler runs outside to watch,5,True,7,,,,5.064516129032258,Always makes my boy smile when he stops and lets him watch the trash get empty and always makes sure he waves every wek when my toddler runs outside to watch
2025-02-06 19:23:10.135000+00:00,Thank you!!,5,False,7,,,,5.5,Thank you!!
2025-02-06 19:17:20.467000+00:00,Always on time and friendly.,5,False,2,,,,5.6,Always on time and friendly.
2025-02-06 19:10:09.714000+00:00,<PERSON> is amazing. My trash has been missed 2 times in the last 3 months and she helped me. I am very appreciative.,5,False,1,,,,5.125,<PERSON> is amazing. My trash has been missed 2 times in the last 3 months and she helped me. I am very appreciative.
2025-02-05 20:35:12.775000+00:00,"My credit card had been compromised and I’m not very technical.  I I decided to use my checking account for auto pay.
<PERSON> was extremely helpful and supportive in helping me through the process.
I really appreciated her thoughtfulness and time.  It would be good if other companies were as helpful!
Thank you so much, <PERSON>!
Best,
<PERSON>",5,False,3,,,,5.9491525423728815,"My credit card had been compromised and I’m not very technical.  I I decided to use my checking account for auto pay.
<PERSON> was extremely helpful and supportive in helping me through the process.
I really appreciated her thoughtfulness and time.  It would be good if other companies were as helpful!
Thank you so much, <PERSON>!
Best,
<PERSON>"
